Alt_km,Temp_K,pressure_pa,density_kgpm3,speedOfSound_mps,viscosity_pas
490,999.096,3.5008E-07,6.1261E-13,633.65,4.1499E-05
495,999.169,3.2524E-07,5.6511E-13,633.67,4.1501E-05
500,999.236,3.0235E-07,5.2148E-13,633.69,4.1503E-05
505,999.297,2.8126E-07,4.8139E-13,633.71,4.1504E-05
510,999.353,2.618E-07,4.4454E-13,633.73,4.1506E-05
515,999.405,2.4386E-07,4.1065E-13,633.75,4.1507E-05
520,999.452,2.273E-07,3.7949E-13,633.76,4.1508E-05
525,999.496,2.1202E-07,3.5083E-13,633.78,4.1509E-05
530,999.536,1.979E-07,3.2446E-13,633.79,4.151E-05
535,999.573,1.8486E-07,3.0019E-13,633.8,4.1511E-05
540,999.607,1.7281E-07,2.7785E-13,633.81,4.1512E-05
545,999.638,1.6168E-07,2.5727E-13,633.82,4.1513E-05
550,999.667,1.5137E-07,2.3832E-13,633.83,4.1514E-05
555,999.693,1.4184E-07,2.2086E-13,633.84,4.1514E-05
560,999.717,1.3302E-07,2.0477E-13,633.85,4.1515E-05
565,999.74,1.2485E-07,1.8993E-13,633.85,4.1516E-05
570,999.76,1.1728E-07,1.7625E-13,633.86,4.1516E-05
575,999.779,1.1027E-07,1.6363E-13,633.87,4.1516E-05
580,999.796,1.0377E-07,1.5199E-13,633.87,4.1517E-05
585,999.812,9.7739E-08,1.4124E-13,633.88,4.1517E-05
590,999.827,9.2145E-08,1.3131E-13,633.88,4.1518E-05
595,999.841,8.6952E-08,1.2214E-13,633.88,4.1518E-05
600,999.853,8.213E-08,1.1367E-13,633.89,4.1518E-05
605,999.864,7.765E-08,1.0584E-13,633.89,4.1519E-05
610,999.875,7.3486E-08,9.8597E-14,633.9,4.1519E-05
615,999.885,6.9612E-08,9.1903E-14,633.9,4.1519E-05
620,999.894,6.6005E-08,8.571E-14,633.9,4.1519E-05
625,999.902,6.2644E-08,7.9981E-14,633.9,4.152E-05
630,999.91,5.951E-08,7.4678E-14,633.91,4.152E-05
635,999.917,5.6585E-08,6.977E-14,633.91,4.152E-05
640,999.923,5.3855E-08,6.5225E-14,633.91,4.152E-05
645,999.929,5.1303E-08,6.1015E-14,633.91,4.152E-05
650,999.934,4.8917E-08,5.7114E-14,633.91,4.152E-05
655,999.939,4.6684E-08,5.3499E-14,633.92,4.152E-05
660,999.944,4.4594E-08,5.0147E-14,633.92,4.1521E-05
665,999.948,4.2635E-08,4.7038E-14,633.92,4.1521E-05
670,999.952,4.0799E-08,4.4154E-14,633.92,4.1521E-05
675,999.956,3.9076E-08,4.1478E-14,633.92,4.1521E-05
680,999.959,3.7459E-08,3.8993E-14,633.92,4.1521E-05
685,999.962,3.594E-08,3.6686E-14,633.92,4.1521E-05
690,999.965,3.4513E-08,3.4542E-14,633.92,4.1521E-05
